Container,fk_SpecimenID,Institution,pk_SpareSampleLocation,ref_SpecimenID
box 6,395,Uvic,114,LUTFUL017
box 6,396,Uvic,115,LUTFUL018
box 6,397,Uvic,116,LUTFUL019
box 6,398,Uvic,117,LUTFUL020
box 6,399,Uvic,118,LUTFUL021
box 6,400,Uvic,119,LUTFUL022
box 6,401,Uvic,120,LUTFUL023
box 6,402,Uvic,121,LUTFUL024
box 6,403,Uvic,122,LUTFUL025
box 6,404,Uvic,123,LUTFUL026
box 6,405,Uvic,124,LUTFUL027
box 6,406,Uvic,125,LUTFUL028
box 6,407,Uvic,126,LUTFUL029
box 6,408,Uvic,127,LUTFUL030
box 6,409,Uvic,128,LUTFUL031
box 6,410,Uvic,129,LUTFUL032
box 6,411,Uvic,130,LUTFUL033
box 6,412,Uvic,131,LUTFUL034
box 6,413,Uvic,132,LUTFUL035
box 6,414,Uvic,133,LUTFUL036
box 6,415,Uvic,134,LUTFUL037
box 6,416,Uvic,135,LUTFUL038
box 6,417,Uvic,136,LUTFUL039
box 6,418,Uvic,137,LUTFUL040
box 6,419,Uvic,138,LUTFUL050
box 6,420,Uvic,139,LUTFUL051
box 6,421,Uvic,140,LUTFUL052
box 6,422,Uvic,141,LUTFUL053
box 6,423,Uvic,142,LUTFUL054
box 6,424,Uvic,143,LUTFUL055
box 6,425,Uvic,144,LUTFUL056
box 6,426,Uvic,145,LUTFUL057
box 6,427,Uvic,146,LUTFUL058
box 6,428,Uvic,147,LUTFUL059
box 6,429,Uvic,148,LUTFUL060
box 6,430,Uvic,149,LUTFUL061
box 6,431,Uvic,150,LUTFUL062
box 6,432,Uvic,151,LUTFUL063
box 6,433,Uvic,152,LUTFUL064
box 6,434,Uvic,153,LUTFUL065
box 6,435,Uvic,154,LUTFUL066
box 6,436,Uvic,155,LUTFUL067
box 6,437,Uvic,156,LUTFUL068
box 6,438,Uvic,157,LUTFUL069
box 6,439,Uvic,158,LUTFUL070
box 6,440,Uvic,159,LUTFUL071
box 6,441,Uvic,160,LUTFUL072
box 6,442,Uvic,161,LUTFUL073
box 6,443,Uvic,162,LUTFUL074
box 6,444,Uvic,163,LUTFUL075
box 6,445,Uvic,164,LUTFUL076
box 6,446,Uvic,165,LUTFUL077
box 6,447,Uvic,166,LUTFUL078
box 6,448,Uvic,167,LUTFUL079
box 6,449,Uvic,168,LUTFUL080
box 6,450,Uvic,169,LUTFUL081
box 6,451,Uvic,170,LUTFUL082
no location described,,Uvic,171,LUTBOH001
no location described,359,Uvic,172,LUTBOH002
no location described,360,Uvic,173,LUTBOH003
no location described,361,Uvic,174,LUTBOH004
no location described,362,Uvic,175,LUTBOH005
no location described,363,Uvic,176,LUTBOH006
no location described,364,Uvic,177,LUTBOH007
no location described,365,Uvic,178,LUTBOH008
no location described,366,Uvic,179,LUTBOH009
no location described,367,Uvic,180,LUTBOH010
no location described,368,Uvic,181,LUTBOH011
no location described,369,Uvic,182,LUTBOH012
no location described,370,Uvic,183,LUTBOH013
no location described,371,Uvic,184,LUTBOH014
no location described,372,Uvic,185,LUTBOH015
box 8,373,Uvic,186,LUTBOH016
box 8,374,Uvic,187,LUTBOH017
box 8,375,Uvic,188,LUTBOH018
box 8,376,Uvic,189,LUTBOH019
box 8,377,Uvic,190,LUTBOH020
box 7,,Uvic,191,LUTKAS001
box 7,,Uvic,192,LUTKAS002
box 4,1226,Uvic,193,PSEDIS001
box 4,1227,Uvic,194,PSEDIS002
box 4,1230,Uvic,195,PSEDIS003
box 4,1232,Uvic,196,PSEDIS004
box 4,1235,Uvic,197,PSEDIS005
box 4,1236,Uvic,198,PSEDIS006
box 4,1240,Uvic,199,PSEDIS007
box 4,1241,Uvic,200,PSEDIS008
box 4,1246,Uvic,201,PSEDIS009
box 4,1247,Uvic,202,PSEDIS010
box 4,1248,Uvic,203,PSEDIS011
box 4,1274,Uvic,204,PSEDIS013
