DateStatusUpdated,EnteredBy,fk_LocationID,fk_sampleID,Institution,pk_StatusLocationID,ref_containID,ref_containNum,ref_containType,ref_SampleID,SampleLocationDate
2012-10-01,,1,141,Uvic,80,Scintillation 1 Uvic,1,Scintillation,,141 1 2012-10-01
2012-10-01,,1,142,Uvic,81,Scintillation 1 Uvic,1,Scintillation,,142 1 2012-10-01
2012-10-01,,1,143,Uvic,82,Scintillation 1 Uvic,1,Scintillation,,143 1 2012-10-01
2012-10-01,,1,144,Uvic,83,Scintillation 1 Uvic,1,Scintillation,,144 1 2012-10-01
2012-10-01,,1,145,Uvic,84,Scintillation 1 Uvic,1,Scintillation,,145 1 2012-10-01
2012-10-01,,1,146,Uvic,85,Scintillation 1 Uvic,1,Scintillation,,146 1 2012-10-01
2012-10-01,,1,147,Uvic,86,Scintillation 1 Uvic,1,Scintillation,,147 1 2012-10-01
2012-10-01,,1,148,Uvic,87,Scintillation 1 Uvic,1,Scintillation,,148 1 2012-10-01
2012-10-01,,1,149,Uvic,88,Scintillation 1 Uvic,1,Scintillation,,149 1 2012-10-01
2012-10-01,,1,150,Uvic,89,Scintillation 1 Uvic,1,Scintillation,,150 1 2012-10-01
2012-10-01,,1,151,Uvic,90,Scintillation 1 Uvic,1,Scintillation,,151 1 2012-10-01
2012-10-01,,1,152,Uvic,91,Scintillation 1 Uvic,1,Scintillation,,152 1 2012-10-01
2012-10-01,,1,153,Uvic,92,Scintillation 1 Uvic,1,Scintillation,,153 1 2012-10-01
2012-10-01,,1,154,Uvic,93,Scintillation 1 Uvic,1,Scintillation,,154 1 2012-10-01
2012-10-01,,1,155,Uvic,94,Scintillation 1 Uvic,1,Scintillation,,155 1 2012-10-01
2012-10-01,,1,156,Uvic,95,Scintillation 1 Uvic,1,Scintillation,,156 1 2012-10-01
2012-10-01,,1,157,Uvic,96,Scintillation 1 Uvic,1,Scintillation,,157 1 2012-10-01
2012-10-01,,3,179,Uvic,97,Scintillation 3 Uvic,3,Scintillation,,179 3 2012-10-01
2012-10-01,,3,180,Uvic,98,Scintillation 3 Uvic,3,Scintillation,,180 3 2012-10-01
2012-10-01,,3,181,Uvic,99,Scintillation 3 Uvic,3,Scintillation,,181 3 2012-10-01
2012-10-01,,3,182,Uvic,100,Scintillation 3 Uvic,3,Scintillation,,182 3 2012-10-01
2012-10-01,,3,183,Uvic,101,Scintillation 3 Uvic,3,Scintillation,,183 3 2012-10-01
2012-10-01,,3,184,Uvic,102,Scintillation 3 Uvic,3,Scintillation,,184 3 2012-10-01
2012-10-01,,3,185,Uvic,103,Scintillation 3 Uvic,3,Scintillation,,185 3 2012-10-01
2012-10-01,,3,311,Uvic,104,Scintillation 3 Uvic,3,Scintillation,,311 3 2012-10-01
2012-10-01,,3,186,Uvic,105,Scintillation 3 Uvic,3,Scintillation,,186 3 2012-10-01
2012-10-01,,3,187,Uvic,106,Scintillation 3 Uvic,3,Scintillation,,187 3 2012-10-01
2012-10-01,,3,188,Uvic,107,Scintillation 3 Uvic,3,Scintillation,,188 3 2012-10-01
2012-10-01,,3,189,Uvic,108,Scintillation 3 Uvic,3,Scintillation,,189 3 2012-10-01
2012-10-01,,3,190,Uvic,109,Scintillation 3 Uvic,3,Scintillation,,190 3 2012-10-01
2012-10-01,,3,191,Uvic,110,Scintillation 3 Uvic,3,Scintillation,,191 3 2012-10-01
2012-10-01,,3,192,Uvic,111,Scintillation 3 Uvic,3,Scintillation,,192 3 2012-10-01
2012-10-01,,3,312,Uvic,112,Scintillation 3 Uvic,3,Scintillation,,312 3 2012-10-01
2012-10-01,,3,313,Uvic,113,Scintillation 3 Uvic,3,Scintillation,,313 3 2012-10-01
2012-10-01,,3,314,Uvic,114,Scintillation 3 Uvic,3,Scintillation,,314 3 2012-10-01
2012-10-01,,3,315,Uvic,115,Scintillation 3 Uvic,3,Scintillation,,315 3 2012-10-01
2012-10-01,,3,316,Uvic,116,Scintillation 3 Uvic,3,Scintillation,,316 3 2012-10-01
2012-10-01,,3,317,Uvic,117,Scintillation 3 Uvic,3,Scintillation,,317 3 2012-10-01
2012-10-01,,3,318,Uvic,118,Scintillation 3 Uvic,3,Scintillation,,318 3 2012-10-01
2012-10-01,,3,319,Uvic,119,Scintillation 3 Uvic,3,Scintillation,,319 3 2012-10-01
2012-10-01,,3,320,Uvic,120,Scintillation 3 Uvic,3,Scintillation,,320 3 2012-10-01
