d13C,d15N,DateProcessed,fk_PackedID,fk_SampleID,fk_TrayID,Lab,pk_ResultID,ref_sampleID,ref_Tray,Weight_mg
-14.63,13.95,,1016,,,UC Davis,45,PLEDIC007_NA,RT_KI_02,1
-15.16,14.57,,1017,,,UC Davis,46,PLEDIC014_NA,RT_KI_02,1.1
-13.58,16.58,,1018,,,UC Davis,47,PLEDIC043_NA,RT_KI_02,1
-11.51,15.34,,1019,,,UC Davis,48,PLEDIC091_NA,RT_KI_02,0.9
-13.13,16.41,,1021,,,UC Davis,49,PLEDIC137_NA,RT_KI_02,0.9
-13.24,16.06,,1022,,,UC Davis,50,PLEDIC141_NA,RT_KI_02,1
-13.95,14.15,,1028,,,UC Davis,51,PLEDIC174_NA,RT_KI_02,0.9
-16.45,14.17,,425,,,UC Davis,52,KIF11_047_1,RT_KI_02,1
-16.21,11.92,,426,,,UC Davis,53,KIF11_049_1,RT_KI_02,1
-12.41,14.21,,427,,,UC Davis,54,KIF11_055_1,RT_KI_02,0.9
-14.68,12.8,,429,,,UC Davis,55,KIF11_065_1,RT_KI_02,1.1
-14.07,14.84,,430,,,UC Davis,56,KIF11_066_1,RT_KI_02,1
-12.57,15.51,,431,,,UC Davis,57,KIF11_068_1,RT_KI_02,0.9
-11.85,14.58,,433,,,UC Davis,58,KIF11_072_1,RT_KI_02,1
-16.27,13.14,,434,,,UC Davis,59,KIF11_100_1,RT_KI_02,1.1
-15.48,14.17,,435,,,UC Davis,60,KIF11_101_1,RT_KI_02,1.1
-14.21,13.1,,436,,,UC Davis,61,KIF11_104_1,RT_KI_02,0.9
-14.01,13.77,,437,,,UC Davis,62,KIF11_105_1,RT_KI_02,1.1
-13.54,13.56,,438,,,UC Davis,63,KIF11_106_1,RT_KI_02,1
-12.65,14.99,,439,,,UC Davis,64,KIF11_107_1,RT_KI_02,1.1
-13.7,13.43,,440,,,UC Davis,65,KIF11_108_1,RT_KI_02,1.1
-13.37,13.17,,441,,,UC Davis,66,KIF11_109_1,RT_KI_02,1
-13.8,14.98,,442,,,UC Davis,67,KIF11_110_1,RT_KI_02,1.1
-13.1,14.39,,446,,,UC Davis,68,KIF11_117_1,RT_KI_02,0.9
-13.4,15.63,,449,,,UC Davis,69,KIF11_120_1,RT_KI_02,1.1
-12.75,14.26,,450,,,UC Davis,70,KIF11_121_1,RT_KI_02,1
-12.74,14.66,,452,,,UC Davis,71,KIF11_133_1,RT_KI_02,1
-13.28,14.37,,453,,,UC Davis,72,KIF11_136_1,RT_KI_02,1
-14.05,13.32,,454,,,UC Davis,73,KIF11_137_1,RT_KI_02,1
-15.28,14.13,,455,,,UC Davis,74,KIF11_138_1,RT_KI_02,1.1
-14.04,12.69,,459,,,UC Davis,75,KIF11_177_1,RT_KI_02,1
-14.91,14.79,,505,,,UC Davis,76,KIF11_402_1,RT_KI_02,1
-14.06,13.82,,506,,,UC Davis,77,KIF11_429_1,RT_KI_02,1.1
-14.12,13.22,,507,,,UC Davis,78,KIF11_431_1,RT_KI_02,1
